Common yarrow,Achillea millefolium,https://upload.wikimedia.org/wikipedia/commons/1/17/Yarrow_%28Achillea_millefolium%29.jpg,3,Full,Moist,Clay,11,T,10,Wavy-Lined Emerald,Common Eupithacia,Small Brown Quaker,Voluble Dart,Spotted Straw Sun Moth,Northern Scurfy Quaker,Cynical Quaker,Striped Garden Caterpillar,Blackberry Looper Moth,Stalk Border
Black huckleberry,Gaylussacia baccata,https://live.staticflickr.com/5312/6943111582_8defc9f621_b.jpg,2,Partial,Dry,Clay,39,F,10,Laurel Sphinx,Apple Sphinx,Large Lace-Border,Laurel Sphinx,Red-spotted Purple,Polyphemus Moth,Cecropia Silkmoth,Blueberry Leaftier Moth,Clouded Veneer Moth,Formosa Looper Moth
New york ironweed,Vernonia noveboracensis,https://live.staticflickr.com/3794/9300697331_54635ce865_b.jpg,3,Full,Moist,Clay,22,F,3,Blackberry Looper Moth,Tufted Apple-Bud Moth,Common Tan Wave,,,,,,,
Butterfly milkweed,Asclepias tuberosa,https://live.staticflickr.com/440/19473609641_44c0ea332e_b.jpg,1,Full,Dry,Sandy,12,F,10,Unexpected Cycnia,Monarch,Isabella Tiger Moth,Cecropia Silkmoth,Pygarctia Eglenensis,Delicate Cycnia,Milkweed Tussock Moth,Striped Garden Caterpillar,Black-shaded Platynota,Hitched Arches
Goldenclub,Orontium aquaticum,https://live.staticflickr.com/65535/49932315373_89a2914f7d_b.jpg,1,Full,Wet,Clay,12,F,4,Floating-heart Waterlilly,Polymorphic Pondweed Moth,Pondside Pyralid Moth,Waterlily Leafcutter Moth,,,,,,
Southern cattail,Typha domingensis,https://live.staticflickr.com/7564/15657392893_7193a8a577_b.jpg,1,Full,Wet,Loamy,16,F,10,Julia's Dicymolomia Moth,Shy Cosmet,Smeared Dagger Moth,Biden's Borer Moth,Julia's Dicymolomia Moth,Oblong Sedge Borer Moth,False Wainscot,Henry's Marsh Moth,White-Tailed Diver,Yellow Sedge Borer
Eastern hemlock,Tsuga canadensis,https://live.staticflickr.com/199/479430106_6e6172989a_b.jpg,30,Partial,Moist,Loamy,69,T,10,Pale Beauty,Imperial Moth,Cecropia Silkmoth,Whitemarked Tussock Moth,Four-Spotted Fungus Moth,Green Hemlock Needleminer Moth,Labrador Carpet,Little White Lichen Moth,American Idia,Black Zigzag
Toadshade,Trillium sessile,https://live.staticflickr.com/65535/49653362137_8a23486402_b.jpg,1,Shade,Moist,Loamy,2,F,2,Black-patched Clepsis Moth,American Angle Shades,empty,,,,,,,
Blackhaw,Viburnum prunifolium,https://live.staticflickr.com/65535/48332580036_54b6240bb4_b.jpg,10,Full,Wet,Clay,99,T,10,Brown Scoopwing,The Green Marvel,Hummingbird Clearwing,Snowberry Clearwing,Isabella Tiger Moth,Purple-Crested Slug,Crocus Geometer,Promethea Silkmoth,Blinded Sphinx,Red-Humped Caterpillar
Southern arrowwood,Viburnum dentatum,https://live.staticflickr.com/5155/7238353628_445da6f87f_b.jpg,10,Shade,Wet,Sandy,99,T,10,Brown Scoopwing,The Green Marvel,Hummingbird Clearwing,Snowberry Clearwing,Isabella Tiger Moth,Purple-Crested Slug,Crocus Geometer,Promethea Silkmoth,Blinded Sphinx,Red-Humped Caterpillar
Neckweed,Veronica peregrina,https://live.staticflickr.com/65535/50029660983_826258acd4_b.jpg,1,Partial,Dry,Loamy,7,F,6,The Aster Borer Moth,Common Buckeye,,One-lined Sparganothis,Burdock Border,Dusky Leafroller,,,,
